kecamatan;2012;2013;2014;2015;2016;2017;2018;2019
Srandakan;0.0;2.0;0.0;0.0;0.0;1.0;5.0;3.0
Sanden;0.0;3.0;0.0;0.0;1.0;1.0;1.0;1.0
Kretek;0.0;1.0;0.0;0.0;4.0;10.0;10.0;2.0
Pundong;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bambanglipuro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pandak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bantul;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jetis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Imogiri;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dlingo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pleret;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Piyungan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banguntapan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sewon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kasihan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pajangan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sedayu;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
